ExpNo,Aminoc,pathINOC,PLANTSP,INOC_PLANT,REP,PLANTINGDAY,HEIGHT_I,BLOCKNUM,HEIGHT_F,FDEATH,A_BIOMASS,B_BIOMASS,SM,DiseaseSev,GROWDAYS,LUH
path1,NA,17,BS,17BS,4,NA,0.9,1,2.5,alive,0.0269,0.0058,NA,NA,41,NA
path1,NA,18,BS,18BS,3,NA,0.7,1,2.8,alive,0.0048,0.0014,NA,NA,41,NA
path1,NA,42,DB,42DB,5,NA,1.8,1,3.3,alive,0.0063,0.0113,NA,NA,41,NA
path1,NA,46,DB,46DB,1,NA,2.4,1,3.9,alive,0.0059,0.0083,NA,NA,41,NA
path1,NA,46,DB,46DB,3,NA,2.6,1,4.2,alive,0.0067,0.0109,NA,NA,41,NA
path1,NA,55,IW,55IW,2,NA,1.2,1,2.5,alive,0.0062,0.0053,NA,NA,41,NA
path1,NA,55,IW,55IW,5,NA,1,1,2.1,alive,0.0055,0.0035,NA,NA,41,NA
path1,NA,58,IW,58IW,1,NA,2.1,1,2.9,alive,0.0059,0.0019,NA,NA,41,NA
path1,NA,OOMYSTERILE,BS,OOMYSTERILEBS,4,NA,1.3,3,2.8,alive,0.0102,0.0072,NA,NA,41,NA
path1,NA,OOMYSTERILE,MW,OOMYSTERILEMW,3,NA,4.3,1,5.7,alive,0.0132,0.0462,NA,NA,41,NA
path1,NA,18,BS,18BS,1,NA,0.3,2,2.3,alive,0.0044,0.0008,NA,NA,41,NA
path1,NA,19,BS,19BS,5,NA,0.8,2,1.8,alive,0.0074,0.0018,NA,NA,41,NA
path1,NA,19,BS,19BS,1,NA,0.7,2,2.7,alive,0.0104,0.003,NA,NA,41,NA
path1,NA,41,DB,41DB,4,NA,2,2,3.7,alive,0.0047,0.0108,NA,NA,41,NA
path1,NA,42,DB,42DB,3,NA,3.2,2,4.5,alive,0.0138,0.0162,NA,NA,41,NA
path1,NA,44,DB,44DB,5,NA,2.9,2,4,alive,0.0027,0.0102,NA,NA,41,NA
path1,NA,59,IW,59IW,4,NA,1.8,2,2.9,alive,0.0042,0.0032,NA,NA,41,NA
path1,NA,59,IW,59IW,1,NA,0.9,2,2.5,alive,0.0102,0.0064,NA,NA,41,NA
path1,NA,OOMYSTERILE,MW,OOMYSTERILEMW,1,NA,2.9,2,5.1,alive,0.0208,0.0261,NA,NA,41,NA
path1,NA,OOMYSTERILE,MW,OOMYSTERILEMW,4,NA,5.6,2,5.7,alive,0.0118,0.033,NA,NA,41,NA
path1,NA,16,BS,16BS,5,NA,0.8,3,3,alive,0.0056,0.0025,NA,NA,41,NA
path1,NA,40,DB,40DB,4,NA,2.7,3,4.5,alive,0.0098,0.0106,NA,NA,41,NA
path1,NA,45,DB,45DB,4,NA,3,3,6.2,alive,0.0086,0.0195,NA,NA,41,NA
path1,NA,57,IW,57IW,2,NA,2,3,0,dead,NA,NA,NA,NA,41,NA
path1,NA,57,IW,57IW,4,NA,1.1,3,4.1,alive,0.0104,0.0053,NA,NA,41,NA
path1,NA,64,MW,64MW,2,NA,3.5,3,5.8,alive,0.0267,0.022,NA,NA,41,NA
