"","pvalue","sp","type"
"(Intercept)",1.63276618253015e-95,"MW","above"
"path_treat18",0.62828103991674,"MW","above"
"path_treat19",0.449937435453152,"MW","above"
"path_treat23",0.202970882216881,"MW","above"
"path_treat29",0.797770193039798,"MW","above"
"path_treat35",0.596447365613643,"MW","above"
"path_treat45",0.929425114502302,"MW","above"
"path_treat57",0.408630794605048,"MW","above"
"path_treat58",0.11044004658258,"MW","above"
"path_treat59",0.993168898764177,"MW","above"
"path_treat61",0.797475433351613,"MW","above"
"path_treat62",0.814928518893201,"MW","above"
"path_treat63",0.830498291945679,"MW","above"
"path_treat64",0.19015423984357,"MW","above"
"path_treat73",0.551221579637809,"MW","above"
"path_treat74",0.178982493114026,"MW","above"
"path_treat76",0.613356171633362,"MW","above"
"path_treat83",0.862952753774075,"MW","above"
"path_treat85",0.39637435498473,"MW","above"
"path_treat87",0.0821901639576988,"MW","above"
"path_treat92",0.957767368852257,"MW","above"
"height_i",0.164012811142866,"MW","above"
"(Intercept)1",1.9889536996074e-109,"DB","above"
"path_treat17",0.136433909147181,"DB","above"
"path_treat181",0.249895248443445,"DB","above"
"path_treat191",0.988773803318943,"DB","above"
"path_treat231",0.229246339933102,"DB","above"
"path_treat291",0.569971671628114,"DB","above"
"path_treat30",0.405164594528283,"DB","above"
"path_treat33",0.312849775339749,"DB","above"
"path_treat351",0.130998135163126,"DB","above"
"path_treat38",0.170237187057849,"DB","above"
"path_treat40",0.47566878274491,"DB","above"
"path_treat41",0.811521821232297,"DB","above"
"path_treat42",0.674441135287048,"DB","above"
"path_treat43",0.320137848660637,"DB","above"
"path_treat44",0.227106108267117,"DB","above"
"path_treat451",0.25300281980852,"DB","above"
"path_treat46",0.759528104783614,"DB","above"
"path_treat571",2.02390912576681e-05,"DB","above"
"path_treat581",0.0279101656311738,"DB","above"
"path_treat591",0.000835070284183131,"DB","above"
"path_treat641",0.767615231282666,"DB","above"
"path_treat731",0.0305152503482319,"DB","above"
"path_treat741",0.0167555017672517,"DB","above"
"path_treat761",0.968357792037781,"DB","above"
"path_treat831",0.183291366266383,"DB","above"
"path_treat851",0.533739993519222,"DB","above"
"path_treat871",0.193525462686904,"DB","above"
"path_treat921",0.0926015853630375,"DB","above"
"height_i1",0.000153504697970316,"DB","above"
"(Intercept)2",1.17872985879089e-100,"SL","above"
"path_treat171",0.153728823794165,"SL","above"
"path_treat182",0.383136128344205,"SL","above"
"path_treat192",9.368455613981e-05,"SL","above"
"path_treat232",0.740171029104895,"SL","above"
"path_treat292",0.885556132171646,"SL","above"
"path_treat452",0.925240924094159,"SL","above"
"path_treat572",0.0244431529080804,"SL","above"
"path_treat582",0.634202553790582,"SL","above"
"path_treat592",0.0665079145879213,"SL","above"
"path_treat642",0.421135901799091,"SL","above"
"path_treat68",0.767078652403433,"SL","above"
"path_treat70",0.957764591975111,"SL","above"
"path_treat72",0.489864575112674,"SL","above"
"path_treat742",0.593214310577702,"SL","above"
"path_treat762",0.872318853597706,"SL","above"
"path_treat832",0.18955694389441,"SL","above"
"path_treat852",0.01172264361963,"SL","above"
"path_treat872",0.0669710623145079,"SL","above"
"path_treat922",0.444646047076265,"SL","above"
"height_i2",0.204620639788905,"SL","above"
"(Intercept)3",7.79918873738611e-128,"BS","above"
"path_treat1",0.72797503316253,"BS","above"
"path_treat10",0.929231669661183,"BS","above"
"path_treat12",0.663781873969311,"BS","above"
"path_treat14",0.0654322880928894,"BS","above"
"path_treat16",0.439246438253626,"BS","above"
"path_treat172",0.0129023840897472,"BS","above"
"path_treat183",0.477034150393265,"BS","above"
"path_treat193",0.733574175025808,"BS","above"
"path_treat2",0.18928119687446,"BS","above"
"path_treat20",0.499711815761985,"BS","above"
"path_treat21",0.973764147924962,"BS","above"
"path_treat22",0.943100545254458,"BS","above"
"path_treat233",0.589694772052319,"BS","above"
"path_treat25",0.855869354037228,"BS","above"
"path_treat26",0.902127842293261,"BS","above"
"path_treat293",0.35210601266505,"BS","above"
"path_treat352",0.530422551583547,"BS","above"
"path_treat453",0.468516227050805,"BS","above"
"path_treat573",0.565168378075622,"BS","above"
"path_treat583",0.258222421405763,"BS","above"
"path_treat593",0.799820035869672,"BS","above"
"path_treat643",0.996416806067166,"BS","above"
"path_treat7",0.347419925156228,"BS","above"
"path_treat732",0.984131150794017,"BS","above"
"path_treat743",0.710231531016288,"BS","above"
"path_treat763",0.208246941273039,"BS","above"
"path_treat8",0.265713389036531,"BS","above"
"path_treat833",0.859910307112651,"BS","above"
"path_treat853",0.704139174738323,"BS","above"
"path_treat873",0.288342121139178,"BS","above"
"path_treat9",0.739457589141406,"BS","above"
"path_treat923",0.832331092689738,"BS","above"
"height_i3",0.000103956378036285,"BS","above"
"(Intercept)4",2.85342361612957e-121,"IW","above"
"path_treat173",0.739082266473207,"IW","above"
"path_treat184",0.967308425106673,"IW","above"
"path_treat194",0.00271530238742086,"IW","above"
"path_treat234",0.890854729350994,"IW","above"
"path_treat294",0.965539050707699,"IW","above"
"path_treat353",0.714466918344358,"IW","above"
"path_treat454",0.281655129587725,"IW","above"
"path_treat47",0.99964992852803,"IW","above"
"path_treat48",0.452058020817792,"IW","above"
"path_treat49",0.918230105416819,"IW","above"
"path_treat51",0.719977410547528,"IW","above"
"path_treat53",0.514421434359544,"IW","above"
"path_treat55",0.827931504653274,"IW","above"
"path_treat56",0.980354852895542,"IW","above"
"path_treat574",0.326479886996203,"IW","above"
"path_treat584",0.896424459096743,"IW","above"
"path_treat594",0.146363949253023,"IW","above"
"path_treat644",0.635524067222413,"IW","above"
"path_treat733",0.586910095527494,"IW","above"
"path_treat744",0.965689352041194,"IW","above"
"path_treat764",0.833343625870499,"IW","above"
"path_treat834",0.720248693164606,"IW","above"
"path_treat854",0.875363532714332,"IW","above"
"path_treat874",0.832779102480821,"IW","above"
"path_treat924",0.795814890303412,"IW","above"
"height_i4",0.000648560840244404,"IW","above"
