,path_no,path_treat,pvalue,lsmean,SE,df,lower.CL,upper.CL,direction,plantsp,biomass
2,18,path_treat18,0.62828104,0.016170018,0.003592684,102.5190286,0.009258516,0.02351873,+,MW,above
3,19,path_treat19,0.449937435,0.014798153,0.004035959,103.9476848,0.007067271,0.02308725,+,MW,above
4,23,path_treat23,0.202970882,0.013695061,0.003149349,86.55965211,0.007604162,0.020130733,+,MW,above
5,29,path_treat29,0.797770193,0.0161655,0.007088689,103.9612694,0.002925539,0.031108601,+,MW,above
6,35,path_treat35,0.596447366,0.01523636,0.005047484,103.3502449,0.005648715,0.025694086,+,MW,above
7,45,path_treat45,0.929425115,0.018330389,0.003654154,103.9730666,0.011301458,0.025803212,+,MW,above
8,57,path_treat57,0.408630795,0.020480232,0.0027833,103.9071376,0.015085306,0.026128059,+,MW,above
9,58,path_treat58,0.110440047,0.023205589,0.003052644,103.9450601,0.017298354,0.029410317,+,MW,above
10,59,path_treat59,0.993168899,0.018022813,0.002999118,90.60916715,0.012212961,0.024133472,+,MW,above
11,61,path_treat61,0.797475433,0.017084268,0.003298497,103.6899307,0.010722364,0.023811716,+,MW,above
12,62,path_treat62,0.814928519,0.017195721,0.003195353,103.9975305,0.011027469,0.023706658,+,MW,above
13,63,path_treat63,0.830498292,0.017225654,0.003415318,92.95131549,0.010635928,0.024207879,+,MW,above
14,64,path_treat64,0.19015424,0.021467533,0.002327245,103.9707016,0.016939074,0.026171356,+,MW,above
15,73,path_treat73,0.55122158,0.020606047,0.004340752,103.0524261,0.012297306,0.029529542,+,MW,above
16,74,path_treat74,0.178982493,0.023946327,0.004381223,103.9233763,0.015555636,0.03294628,+,MW,above
17,76,path_treat76,0.613356172,0.016092198,0.003574052,103.9781471,0.009216713,0.023400513,+,MW,above
18,83,path_treat83,0.862952754,0.017405937,0.003335443,86.24316378,0.010959309,0.024227108,+,MW,above
19,85,path_treat85,0.396374355,0.020553385,0.002746285,103.921228,0.015228531,0.026124307,+,MW,above
20,87,path_treat87,0.082190164,0.012080829,0.003148424,91.75399023,0.005998807,0.018511827,+,MW,above
21,92,path_treat92,0.957767369,0.01816353,0.002932506,103.8903,0.01248897,0.024124347,+,MW,above
23,17,path_treat17,0.136433909,0.02525496,0.006349616,181.8043094,0.013332732,0.038431366,+,DB,above
24,18,path_treat181,0.249895248,0.023376346,0.00660712,176.5602678,0.01100263,0.037129388,+,DB,above
25,19,path_treat191,0.988773803,0.015494478,0.006793798,180.7061745,0.002837831,0.029708827,+,DB,above
26,23,path_treat231,0.22924634,0.023686271,0.006634156,174.9005622,0.011262167,0.037497713,+,DB,above
27,29,path_treat291,0.569971672,0.012499369,0.004949693,181.7939364,0.00314504,0.022702051,+,DB,above
28,30,path_treat30,0.405164595,0.009232625,0.007221354,178.1455063,-0.004127367,0.024454351,+,DB,above
29,33,path_treat33,0.312849775,0.008421573,0.006596231,169.1366617,-0.003848409,0.022257338,+,DB,above
30,35,path_treat351,0.130998135,0.024249958,0.005451666,181.7580613,0.013945735,0.035486002,+,DB,above
31,38,path_treat38,0.170237187,0.006075003,0.006389553,177.9860087,-0.005813447,0.019464041,-,DB,above
32,40,path_treat40,0.475668783,0.010466346,0.00680609,169.8504952,-0.002184177,0.024752962,+,DB,above
33,41,path_treat41,0.811521821,0.013699481,0.007670215,179.5418469,-0.000471748,0.029888466,+,DB,above
34,42,path_treat42,0.674441135,0.012660845,0.006623041,178.0497969,0.000320712,0.026518897,+,DB,above
35,43,path_treat43,0.320137849,0.007867981,0.007328299,169.2331314,-0.005670531,0.023349591,+,DB,above
36,44,path_treat44,0.227106108,0.007131253,0.00645676,176.1040159,-0.00488268,0.020662624,+,DB,above
37,45,path_treat451,0.25300282,0.009952369,0.004398017,181.5972306,0.001608188,0.018981782,+,DB,above
38,46,path_treat46,0.759528105,0.013408591,0.00684,180.4882703,0.000684117,0.027741185,+,DB,above
39,57,path_treat571,2.02390912576681e-05,0.046495868,0.007466329,181.1764582,0.032480265,0.061994237,+,DB,above
40,58,path_treat581,0.027910166,0.030234419,0.006652835,180.9788367,0.01774722,0.044045896,+,DB,above
41,59,path_treat591,0.00083507,0.039353036,0.007152694,170.7824611,0.025925668,0.054212155,+,DB,above
42,64,path_treat641,0.767615231,0.017712102,0.006927231,180.7570128,0.004807214,0.032205967,+,DB,above
43,73,path_treat731,0.03051525,0.032066447,0.007759141,179.2053048,0.017609622,0.048300336,+,DB,above
44,74,path_treat741,0.016755502,0.036461147,0.009005504,181.5805019,0.019800499,0.055438791,+,DB,above
45,76,path_treat761,0.968357792,0.015875106,0.006811868,180.9971863,0.003184468,0.030126563,+,DB,above
46,83,path_treat831,0.183291366,0.024808024,0.006827383,180.7082504,0.012037969,0.039033607,+,DB,above
47,85,path_treat851,0.533739994,0.019487625,0.005943703,181.9944957,0.008317331,0.031809862,+,DB,above
48,87,path_treat871,0.193525463,0.024527647,0.006715596,181.7305493,0.011957701,0.038508873,+,DB,above
49,92,path_treat921,0.092601585,0.024131926,0.004798971,181.5090968,0.015015123,0.033971383,+,DB,above
51,17,path_treat171,0.153728824,0.008697353,0.002715905,85.98151822,0.003430189,0.014232745,+,SL,above
52,18,path_treat182,0.383136128,0.007181882,0.003038916,66.74372374,0.00128422,0.013422958,+,SL,above
53,19,path_treat192,9.368455613981e-05,0.016691698,0.002724936,85.94675719,0.011398469,0.022236441,+,SL,above
54,23,path_treat232,0.740171029,0.005278479,0.0024703,78.50288452,0.000474065,0.010312628,+,SL,above
55,29,path_treat292,0.885556132,0.00383435,0.003363464,85.96304188,-0.002641298,0.010740716,+,SL,above
56,45,path_treat452,0.925240924,0.004602586,0.002433415,85.72953958,-0.000124939,0.009553884,+,SL,above
57,57,path_treat572,0.024443153,0.010409562,0.00229582,85.9759305,0.005938648,0.015069161,+,SL,above
