,path_no,path_treat,pvalue,lsmean,SE,df,lower.CL,upper.CL,direction,plantsp,biomass
2,17,path_treat17,0.064505811,0.04808378,0.007405511,102.6388574,0.034100986,0.06352457,+,MW,below
3,18,path_treat18,0.442753927,0.029222569,0.006377655,98.3595689,0.017166883,0.042518705,+,MW,below
4,19,path_treat19,0.423474645,0.04080533,0.007932914,102.4736922,0.025918541,0.057452118,+,MW,below
5,23,path_treat23,0.68517569,0.031816986,0.00596411,104.3392814,0.020505409,0.044190356,+,MW,below
6,29,path_treat29,0.374809485,0.023208841,0.01205243,99.6786542,0.001473612,0.049599667,+,MW,below
7,35,path_treat35,0.202875285,0.022564363,0.008738081,104.9822546,0.006407233,0.041174831,+,MW,below
8,45,path_treat45,0.44181496,0.039689281,0.006809385,93.49095551,0.026801902,0.053886456,+,MW,below
9,57,path_treat57,0.981403512,0.034250915,0.004961163,101.1146828,0.024761506,0.044462093,+,MW,below
10,58,path_treat58,0.067395651,0.045440514,0.005811944,104.742329,0.034360928,0.057433739,+,MW,below
11,59,path_treat59,0.646792217,0.037066373,0.005610478,103.4866121,0.026379556,0.048656881,+,MW,below
12,61,path_treat61,0.535625948,0.038535509,0.006323651,103.5324564,0.026545673,0.051661349,+,MW,below
13,62,path_treat62,0.747849015,0.032400593,0.005787188,102.8373093,0.021406285,0.044390525,+,MW,below
14,63,path_treat63,0.38930379,0.040896494,0.00753061,104.2810669,0.026727597,0.056649558,+,MW,below
15,64,path_treat64,0.879437581,0.035103706,0.004191924,104.7062292,0.027042154,0.043676809,+,MW,below
16,73,path_treat73,0.259515713,0.025774535,0.007226477,98.86284207,0.012222573,0.040963027,+,MW,below
17,74,path_treat74,0.499521574,0.039744999,0.007884181,100.7107269,0.024947871,0.056294497,+,MW,below
18,76,path_treat76,0.356604884,0.028173201,0.006309935,100.7134833,0.016247383,0.041322489,+,MW,below
19,83,path_treat83,0.554743933,0.0304752,0.006341744,83.98151665,0.018454218,0.043716097,+,MW,below
20,85,path_treat85,0.400558104,0.039079971,0.00514339,103.7926289,0.02924523,0.049663074,+,MW,below
21,87,path_treat87,0.088061083,0.023859818,0.005699726,104.9834823,0.013058564,0.03569299,+,MW,below
22,92,path_treat92,0.995189236,0.03434141,0.005374446,104.9179723,0.02409649,0.04543211,+,MW,below
24,17,path_treat171,0.28780856,0.026113149,0.004269359,178.7492445,0.017963561,0.034825757,+,DB,below
25,18,path_treat181,0.374566953,0.025492524,0.004436892,166.5151874,0.017031453,0.034565309,+,DB,below
26,19,path_treat191,0.256679452,0.015911607,0.004535936,175.7224696,0.007296635,0.025218284,+,DB,below
27,23,path_treat231,0.30446041,0.026083635,0.004457148,163.9888606,0.017582967,0.035198858,+,DB,below
28,29,path_treat291,0.500869134,0.018820035,0.003494175,180.3333315,0.012121532,0.025918728,+,DB,below
29,30,path_treat30,0.548553447,0.018172493,0.005169271,169.3412558,0.008396162,0.028830558,+,DB,below
30,33,path_treat33,0.139080552,0.013904785,0.004711173,174.8619153,0.004976088,0.023592909,+,DB,below
31,35,path_treat351,0.728430302,0.020058262,0.003518881,179.9073032,0.013311649,0.027206571,+,DB,below
32,38,path_treat38,0.02853485,0.010671009,0.004486292,180.7470952,0.002163546,0.019886914,+,DB,below
33,40,path_treat40,0.166664114,0.014379386,0.004755935,179.9491271,0.005369486,0.024159702,+,DB,below
34,41,path_treat41,0.818618634,0.020115841,0.005382834,175.3200678,0.00994859,0.031223287,+,DB,below
35,42,path_treat42,0.524479848,0.018299066,0.004606583,172.7718445,0.009547277,0.02775004,+,DB,below
36,43,path_treat43,0.746965988,0.01956892,0.005510706,176.1933534,0.009173368,0.030954342,+,DB,below
37,44,path_treat44,0.303041925,0.016199604,0.004726008,179.8701857,0.007238451,0.025909578,+,DB,below
38,45,path_treat451,0.392914702,0.018425019,0.00315027,176.6434688,0.012368379,0.024808111,+,DB,below
39,46,path_treat46,0.227091218,0.015408294,0.004668044,180.9917791,0.006555481,0.024996615,+,DB,below
40,57,path_treat571,0.000400559,0.038346634,0.004727384,180.8360848,0.029326221,0.047996216,+,DB,below
41,58,path_treat581,0.40731859,0.025074176,0.004280851,180.5304798,0.016906157,0.033812879,+,DB,below
42,59,path_treat591,0.000250995,0.03960959,0.004872448,171.8388325,0.030315828,0.049566157,+,DB,below
43,64,path_treat641,0.504245345,0.02474714,0.004883798,175.8910787,0.015471696,0.034767649,+,DB,below
44,73,path_treat731,0.006972174,0.035569479,0.005281184,172.2834977,0.025536011,0.046404872,+,DB,below
45,74,path_treat741,3.06694737047509e-05,0.047961334,0.006567138,180.4172013,0.035554284,0.06150398,+,DB,below
46,76,path_treat761,0.737335327,0.019745962,0.004686632,176.6940166,0.01084515,0.029361504,+,DB,below
47,83,path_treat831,0.056627854,0.030694815,0.004791862,180.845543,0.021573581,0.040500383,+,DB,below
48,85,path_treat851,0.841427534,0.022259187,0.004072042,180.8646698,0.0144827,0.030563909,+,DB,below
49,87,path_treat871,0.958647006,0.021148296,0.004390705,180.7317111,0.012787185,0.030129231,+,DB,below
50,92,path_treat921,0.345015605,0.024644304,0.003223722,180.5319259,0.018442868,0.031170434,+,DB,below
52,17,path_treat172,0.392504031,0.004701703,0.001945151,66.90623554,0.000890173,0.008657229,+,SL,below
