"","path_treat","lsmean","SE","df","asymp.LCL","asymp.UCL","plantsp"
"1","sterile",0.743459903811546,0.0704294505235127,Inf,0.584258094478376,0.856655072134352,"MW"
"2","17",0.506978237978255,0.197183604932263,Inf,0.179715311670271,0.828368304615675,"MW"
"3","18",0.495227514084236,0.198663382386477,Inf,0.171259840094812,0.823252920175768,"MW"
"4","19",0.422030071056794,0.190936551955706,Inf,0.136029317567743,0.772024454606074,"MW"
"5","23",0.743734634253425,0.165380322238994,Inf,0.346329068501474,0.940819337095687,"MW"
"6","29",0.269565492132794,0.226598235225804,Inf,0.037240299365557,0.778811878777735,"MW"
"7","35",0.510162188520969,0.238906499573621,Inf,0.137867938509641,0.871514999712043,"MW"
"8","45",0.615356173955945,0.184628909507544,Inf,0.257508623139753,0.880663144176942,"MW"
"9","57",0.999999998132545,1.55939142141269e-05,Inf,2.22044604925031e-16,1,"MW"
"10","58",0.85936486327697,0.132835450694517,Inf,0.41479003688739,0.981371304082599,"MW"
"11","59",0.853429506674926,0.137198728622379,Inf,0.404205154342537,0.980381845216701,"MW"
"12","61",0.999999994883095,4.19679608401296e-05,Inf,2.22044604925031e-16,1,"MW"
"13","62",0.999999997294279,2.479185678762e-05,Inf,2.22044604925031e-16,1,"MW"
"14","63",0.999999971682867,0.000105932330409594,Inf,2.22044604925031e-16,1,"MW"
"15","64",0.821446543792345,0.116029526894238,Inf,0.49392244056386,0.955920043751732,"MW"
"16","73",0.70655220476405,0.198276227164834,Inf,0.269803020573535,0.94008350529315,"MW"
"17","74",0.688727144327331,0.207079382655587,Inf,0.249922674916677,0.936277568045231,"MW"
"18","76",0.852876438688332,0.144906882976489,Inf,0.376108942682817,0.982377180657945,"MW"
"19","83",0.749165240069506,0.161686640189811,Inf,0.356125544956549,0.941615732056377,"MW"
"20","85",0.999999998744755,1.39843349223355e-05,Inf,2.22044604925031e-16,1,"MW"
"21","87",0.771262054564132,0.154444791697881,Inf,0.377445228532185,0.949372606175762,"MW"
"22","92",0.878759506413847,0.117375431229298,Inf,0.455483714041997,0.984326837907996,"MW"
"23","sterile",0.94752421973687,0.030837713222872,Inf,0.842629942775283,0.983842376660747,"DB"
"24","17",0.99999999997357,2.16599366332768e-06,Inf,2.22044604925031e-16,1,"DB"
"25","18",0.834978070970504,0.149725684498691,Inf,0.375564407549761,0.977046692441471,"DB"
"26","19",0.78365578968089,0.15126974805362,Inf,0.38659253438349,0.954167969236241,"DB"
"27","23",0.815253188674388,0.164434317329683,Inf,0.341801302381211,0.974024992268934,"DB"
"28","29",0.878465554081451,0.114966704968001,Inf,0.466905204218873,0.983512550618858,"DB"
"29","30",0.701221211972693,0.242742205680264,Inf,0.195017578609945,0.957870751908363,"DB"
"30","33",0.999999999961154,3.56675024874748e-06,Inf,2.22044604925031e-16,1,"DB"
"31","35",0.899207716176858,0.0979153418970746,Inf,0.517745106172484,0.986690709033531,"DB"
"32","38",0.999999999971525,2.51316790165301e-06,Inf,2.22044604925031e-16,1,"DB"
"33","40",0.99999999998427,1.35305538784383e-06,Inf,2.22044604925031e-16,1,"DB"
"34","41",0.942711020533234,0.0698308494560233,Inf,0.56621458557214,0.995202636476368,"DB"
"35","42",0.999999999992551,8.02327925855354e-07,Inf,2.22044604925031e-16,1,"DB"
"36","43",0.999999999969775,2.99535699456967e-06,Inf,2.22044604925031e-16,1,"DB"
"37","44",0.999999999966947,2.43763127579975e-06,Inf,2.22044604925031e-16,1,"DB"
"38","45",0.94012584475361,0.0633695843970135,Inf,0.63350213902496,0.993037756364725,"DB"
"39","46",0.999999999981201,1.44852894398996e-06,Inf,2.22044604925031e-16,1,"DB"
"40","57",0.999999999978704,2.23646802389154e-06,Inf,2.22044604925031e-16,1,"DB"
"41","58",0.999999999997647,3.12911070727791e-07,Inf,2.22044604925031e-16,1,"DB"
"42","59",0.999999999969901,2.62257320396968e-06,Inf,2.22044604925031e-16,1,"DB"
"43","64",0.682221647677597,0.186616384070086,Inf,0.284321048409788,0.920643940864373,"DB"
"44","73",0.999999999971675,2.63632144908197e-06,Inf,2.22044604925031e-16,1,"DB"
"45","74",0.747802414138433,0.215477464403767,Inf,0.240046425469903,0.965319343165547,"DB"
"46","76",0.999999999986078,1.65099190777583e-06,Inf,2.22044604925031e-16,1,"DB"
"47","83",0.885853189042596,0.112931564077367,Inf,0.46508328448566,0.985769376025713,"DB"
"48","85",0.999999999990111,9.40972531230748e-07,Inf,2.22044604925031e-16,1,"DB"
"49","87",0.920702249044735,0.0853208667316938,Inf,0.540278519041378,0.991357556343505,"DB"
"50","92",1,3.79534563751708e-10,Inf,2.22044604925031e-16,1,"DB"
"51","sterile",0.461136333920873,0.124347603668958,Inf,0.242952203183391,0.695301739179463,"SL"
"52","17",0.826763472106612,0.230482543798922,Inf,0.169219909282931,0.991136298140296,"SL"
"53","18",0.233987051740315,0.210016369190846,Inf,0.0298151628440111,0.7522415000434,"SL"
"54","19",0.864278960879312,0.212551717218528,Inf,0.154438603733115,0.995516207314991,"SL"
