,path_no,path_treat,pvalue,lsmean,SE,df,asymp.LCL,asymp.UCL,direction,plantsp
3,18,path_treat18,0.62828104,0.495227514,0.198663382,Inf,0.17125984,0.82325292,+,MW
4,19,path_treat19,0.449937435,0.422030071,0.190936552,Inf,0.136029318,0.772024455,+,MW
5,23,path_treat23,0.202970882,0.743734634,0.165380322,Inf,0.346329069,0.940819337,+,MW
6,29,path_treat29,0.797770193,0.269565492,0.226598235,Inf,0.037240299,0.778811879,+,MW
7,35,path_treat35,0.596447366,0.510162189,0.2389065,Inf,0.137867939,0.871515,+,MW
8,45,path_treat45,0.929425115,0.615356174,0.18462891,Inf,0.257508623,0.880663144,+,MW
9,57,path_treat57,0.408630795,0.999999998,1.55939142141269e-05,Inf,2.22044604925031e-16,1,+,MW
10,58,path_treat58,0.110440047,0.859364863,0.132835451,Inf,0.414790037,0.981371304,+,MW
11,59,path_treat59,0.993168899,0.853429507,0.137198729,Inf,0.404205154,0.980381845,+,MW
12,61,path_treat61,0.797475433,0.999999995,4.19679608401296e-05,Inf,2.22044604925031e-16,1,+,MW
13,62,path_treat62,0.814928519,0.999999997,2.479185678762e-05,Inf,2.22044604925031e-16,1,+,MW
14,63,path_treat63,0.830498292,0.999999972,0.000105932,Inf,2.22044604925031e-16,1,+,MW
15,64,path_treat64,0.19015424,0.821446544,0.116029527,Inf,0.493922441,0.955920044,+,MW
16,73,path_treat73,0.55122158,0.706552205,0.198276227,Inf,0.269803021,0.940083505,+,MW
17,74,path_treat74,0.178982493,0.688727144,0.207079383,Inf,0.249922675,0.936277568,+,MW
18,76,path_treat76,0.613356172,0.852876439,0.144906883,Inf,0.376108943,0.982377181,+,MW
19,83,path_treat83,0.862952754,0.74916524,0.16168664,Inf,0.356125545,0.941615732,+,MW
20,85,path_treat85,0.396374355,0.999999999,1.39843349223355e-05,Inf,2.22044604925031e-16,1,+,MW
21,87,path_treat87,0.082190164,0.771262055,0.154444792,Inf,0.377445229,0.949372606,+,MW
22,92,path_treat92,0.957767369,0.878759506,0.117375431,Inf,0.455483714,0.984326838,+,MW
24,17,path_treat17,0.136433909,1,2.16599366332768e-06,Inf,2.22044604925031e-16,1,+,DB
25,18,path_treat181,0.249895248,0.834978071,0.149725684,Inf,0.375564408,0.977046692,+,DB
26,19,path_treat191,0.988773803,0.78365579,0.151269748,Inf,0.386592534,0.954167969,+,DB
27,23,path_treat231,0.22924634,0.815253189,0.164434317,Inf,0.341801302,0.974024992,+,DB
28,29,path_treat291,0.569971672,0.878465554,0.114966705,Inf,0.466905204,0.983512551,+,DB
29,30,path_treat30,0.405164595,0.701221212,0.242742206,Inf,0.195017579,0.957870752,+,DB
30,33,path_treat33,0.312849775,1,3.56675024874748e-06,Inf,2.22044604925031e-16,1,+,DB
31,35,path_treat351,0.130998135,0.899207716,0.097915342,Inf,0.517745106,0.986690709,+,DB
32,38,path_treat38,0.170237187,1,2.51316790165301e-06,Inf,2.22044604925031e-16,1,+,DB
33,40,path_treat40,0.475668783,1,1.35305538784383e-06,Inf,2.22044604925031e-16,1,+,DB
34,41,path_treat41,0.811521821,0.942711021,0.069830849,Inf,0.566214586,0.995202636,+,DB
35,42,path_treat42,0.674441135,1,8.02327925855354e-07,Inf,2.22044604925031e-16,1,+,DB
36,43,path_treat43,0.320137849,1,2.99535699456967e-06,Inf,2.22044604925031e-16,1,+,DB
