"","AM_treat","path_treat","land_use","lsmean","SE","df","lower.CL","upper.CL","biomass"
"1","sterile","sterile","post-ag",0.0753561079602935,0.0205990283218762,22.5262779049766,0.0374872446477285,0.123655399290091,"below"
"2","native","sterile","post-ag",0.4885685814521,0.0691754455962732,22.5534848231173,0.361413245472501,0.650765129678495,"below"
"3","non-native","sterile","post-ag",0.746467575034474,0.0991358681693243,22.1937251374139,0.564017603872258,0.979048735163626,"below"
"4","sterile","19","post-ag",0.0747266060876446,0.0245746844149834,45.8551024386153,0.0316427285574989,0.131910924434936,"below"
"5","native","19","post-ag",0.645641234602193,0.103491893022621,43.5580438407937,0.463653537877803,0.886387582755873,"below"
"6","non-native","19","post-ag",0.617701248515377,0.102503901258065,48.5672707344736,0.438601569946258,0.856356443914427,"below"
"7","sterile","35","post-ag",0.074741951879827,0.0257895475572682,55.0037840980564,0.0300008371837105,0.13488117775443,"below"
"8","native","35","post-ag",0.432715320451901,0.075189246303871,46.270272829497,0.300985409318232,0.607720545559681,"below"
"9","non-native","35","post-ag",0.833774873244015,0.131496803671239,45.9872063625639,0.603291619308389,1.1397922710345,"below"
"10","sterile","87","post-ag",0.0719252385036661,0.0245372160969563,48.4880001446394,0.0290469101239005,0.129050719665918,"below"
"11","native","87","post-ag",0.509218834529021,0.0868741091622895,48.392523457602,0.357383738080678,0.711457770454079,"below"
"12","non-native","87","post-ag",0.889281038697265,0.139386885549858,46.0490519592686,0.64499338665432,1.21367202858144,"below"
"13","sterile","sterile","remnant",0.0845160105079371,0.0186625386735601,12.8240666626196,0.0482536317691296,0.129648054671498,"below"
"14","native","sterile","remnant",0.521123556153157,0.0629774786225556,12.9855439223109,0.398926769504544,0.673248692170707,"below"
"15","non-native","sterile","remnant",0.725484792233956,0.0841815849612144,13.2761585676057,0.562569149933128,0.928458904671781,"below"
"16","sterile","19","remnant",0.0744711407713995,0.0213285942628384,26.4115306120344,0.0357299454407368,0.12427017754431,"below"
"17","native","19","remnant",0.66256665483199,0.0920104889053762,25.1062531312616,0.49480967804159,0.877636922412335,"below"
"18","non-native","19","remnant",1.09029475449809,0.148403870128637,28.6896334625199,0.822272481835615,1.43620717357389,"below"
"19","sterile","35","remnant",0.0786872461837402,0.0216839250903429,25.7349734044191,0.0392221485556046,0.129339456975671,"below"
"20","native","35","remnant",0.539108661627345,0.0775840610418114,25.7276262738194,0.397908626120066,0.720351084394751,"below"
"21","non-native","35","remnant",1.1570524519459,0.152545946658077,25.7320248941449,0.879415185128974,1.51339224767597,"below"
"22","sterile","87","remnant",0.10144459258259,0.0225851440234591,19.7960733463508,0.0594116953126529,0.154560518920376,"below"
"23","native","87","remnant",0.628209338282644,0.080938695349701,19.0948310227423,0.477109603404849,0.818870240996565,"below"
"24","non-native","87","remnant",0.758492391038671,0.0976478375974989,21.0087073607272,0.577657129517955,0.987584197624482,"below"
